dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6076, TestAcc: 0.8400, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6158, TestAcc: 0.8480, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.6780, TestAcc: 0.8480, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.5935, TestAcc: 0.8440, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.5951, TestAcc: 0.8400, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.5998, TestAcc: 0.8390, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6120, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.3, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6142, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.6862, TestAcc: 0.8510, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6003, TestAcc: 0.8430, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.5980, TestAcc: 0.8430, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6019, TestAcc: 0.8400, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6088, TestAcc: 0.8430, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.4, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6102, TestAcc: 0.8480, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.6910, TestAcc: 0.8550, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6140, TestAcc: 0.8440, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6123, TestAcc: 0.8400, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6159, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6080, TestAcc: 0.8450, Overall
